Site,Date,Uninfected,Virus,VirusFungus,Fungus,Total,Frac.UnInfected,Frac.Virus,Frac.VirusFungus,Frac.Fungus,Frac.Infected
YSN,5/27/2021,50,0,0,0,50,1,0,0,0,0
YSN,6/1/2021,42,0,0,0,42,1,0,0,0,0
YSN,6/4/2021,50,0,0,0,50,1,0,0,0,0
YSN,6/7/2021,48,0,0,0,48,1,0,0,0,0
YSN,6/10/2021,47,0,0,3,50,0.94,0,0,0.06,0.06
YSN,6/14/2021,38,4,0,7,49,0.775510204,0.081632653,0,0.142857143,0.224489796
YSN,6/17/2021,26,2,0,8,36,0.722222222,0.055555556,0,0.222222222,0.277777778
YSN,6/21/2021,24,1,0,20,45,0.533333333,0.022222222,0,0.444444444,0.466666667
YSN,6/24/2021,22,0,3,24,49,0.448979592,0,0.06122449,0.489795918,0.551020408
ROB,5/26/2021,42,8,0,0,50,0.84,0.16,0,0,0.16
ROB,6/1/2021,27,23,0,0,50,0.54,0.46,0,0,0.46
ROB,6/4/2021,28,22,0,0,50,0.56,0.44,0,0,0.44
ROB,6/7/2021,38,12,0,0,50,0.76,0.24,0,0,0.24
ROB,6/10/2021,30,19,0,0,49,0.612244898,0.387755102,0,0,0.387755102
ROB,6/14/2021,29,19,0,0,48,0.604166667,0.395833333,0,0,0.395833333
ROB,6/17/2021,31,20,0,0,51,0.607843137,0.392156863,0,0,0.392156863
ROB,6/21/2021,16,35,0,0,51,0.31372549,0.68627451,0,0,0.68627451
ROB,6/24/2021,18,29,3,0,50,0.36,0.58,0.06,0,0.64
JHN,5/26/2021,42,7,0,0,49,0.857142857,0.142857143,0,0,0.142857143
JHN,6/1/2021,29,18,0,1,48,0.604166667,0.375,0,0.020833333,0.395833333
JHN,6/4/2021,33,15,0,0,48,0.6875,0.3125,0,0,0.3125
JHN,6/7/2021,36,11,0,1,48,0.75,0.229166667,0,0.020833333,0.25
JHN,6/10/2021,38,10,0,1,49,0.775510204,0.204081633,0,0.020408163,0.224489796
JHN,6/14/2021,25,21,0,4,50,0.5,0.42,0,0.08,0.5
JHN,6/17/2021,19,30,0,2,51,0.37254902,0.588235294,0,0.039215686,0.62745098
JHN,6/21/2021,11,33,5,2,51,0.215686275,0.647058824,0.098039216,0.039215686,0.784313725
JHN,6/24/2021,7,41,1,1,50,0.14,0.82,0.02,0.02,0.86
