Year,Acres
1924,"	0"
1925,"	0"
1926,"	0"
1927,"	0"
1928,"	0"
1929,"	0"
1930,"	0"
1931,"	0"
1932,"	0"
1933,"	0"
1934,"	0"
1935,"	0"
1936,"	0"
1937,"	0"
1938,"	0"
1939,"	0"
1940,"	0"
1941,"	0"
1942,"	0"
1943,"	0"
1944,"	0"
1945,"	0"
1946,"	0"
1947,"	0"
1948,"	0"
1949,"	0"
1950,"	0"
1951,"	0"
1952,"	0"
1953,"	0"
1954,"	0"
1955,"	0"
1956,"	0"
1957,"	0"
1958,"	0"
1959,"	0"
1960,"	0"
1961,"	0"
1962,"	0"
1963,"	0"
1964,"	0"
1965,"	0"
1966,"	0"
1967,"	0"
1968,"	0"
1969,"	0"
1970,"	0"
1971,"	0"
1972,"	0"
1973,"	0"
1974,"	0"
1975,"	0"
1976,"	0"
1977,"	0"
1978,"	0"
1979,"	100"
1980,"	5"
1981,"	18"
1982,"	92"
1983,"	457"
1984,6425.00
1985,18460.00
1986,61370.00
1987,39443.00
1988,70350.00
1989,"	289864"
1990,"	329168"
1991,"	426881"
1992,"	515556"
1993,"	277303"
1994,"	97287"
1995,"	85907"
1996,"	3230"
1997,"	37000"
1998,"	301778"
1999,"	123780"
2000,"	96552"
2001,"	0"
2002,"	0"
2003,"	46793"
2004,"	45270"
2005,"	148525"
2006,"	31995"
2007,"	19146"
2008,"	113873"
2009,"	0"
2010,"	941989"
2011,"	1047"
2012,"	0"
2013,"	53567"
2014,"	41734"
2015,"	914"
2016,"	699"
2017,"	74808"
2018,"	6515"
2019,"	195795"
2020,950000.00
2021,1350000.00
2022,386000.00
2023,373000.00
