insect_density,pct_above0,mean,5th_pct,95th_pct,group,model
0.25,7.532468,-7.645174,-15.6215,1.191518,Fraction_Infected,normal
2.5,5.064935,-10.54809221,-19.46281764,0.028612944,Fraction_Infected,normal
10,1.883116883,-18.38836964,-31.49660325,-3.00221872,Fraction_Infected,normal
25,1.136363636,-23.3599438,-36.1754198,-6.8807056,Fraction_Infected,normal
50,0.71428571,-19.4974,-33.0931402,-6.2136524,Fraction_Infected,normal
100,0.681818182,-10.0523458,-20.6839271,-2.3047007,Fraction_Infected,normal
250,1.850649351,-1.7879874,-5.8297148,-0.03967582,Fraction_Infected,normal
1000,7.532468,-0.03304048,-0.1543001,0.000200001,Fraction_Infected,normal
0.25,92.04545,0.2885855,-0.0516705,0.5921824,Defoliation,normal
2.5,94.61039,0.3841775,-0.007713792,0.7735996,Defoliation,normal
10,97.14286,0.9104626,0.07371139,2.059453,Defoliation,normal
25,96.91558,2.988401,0.143994,7.696073,Defoliation,normal
50,96.3961,7.979143,0.2210368,19.35461,Defoliation,normal
100,99.12338,15.9041,2.295587,32.67567,Defoliation,normal
250,98.66883,17.14256,3.498605,32.71797,Defoliation,normal
1000,90.94156,2.30435,-0.5200876,9.085706,Defoliation,normal
